vendorID	passengerCount	tripDistance	month_num	day_of_month	day_of_week	day_of_hour
2	1	5.59	7	24	4	17
2	1	4.47	5	29	4	18
2	6	1.55	6	9	1	11
2	1	2.45	12	12	5	12
2	6	1.32	1	12	0	17
2	1	1.41	10	2	4	23
2	1	1.06	11	16	0	20
2	1	11.32	9	7	0	15
2	1	2.01	7	24	4	21
2	1	1.02	1	25	6	8
2	1	2.85	7	25	5	21
2	1	0.75	9	22	1	13
2	1	1.37	3	16	0	11
1	5	6.2	4	7	1	23
1	1	0.6	12	4	4	12
2	1	1.18	2	21	5	22
2	1	4.58	6	21	6	18
1	2	1.4	12	30	2	22
2	1	3.79	9	19	5	21
2	1	1.23	9	28	0	10
2	2	3.41	4	3	4	3
2	1	2.25	1	6	1	13
2	1	5.66	10	5	0	8
2	1	0.84	10	2	4	2
2	1	1.81	1	10	5	16
2	1	0.38	8	13	3	10
2	1	1.3	3	25	2	14
2	1	1.32	9	5	5	3
2	1	7.18	5	18	0	8
2	1	2.75	5	10	6	21
2	1	5.94	10	25	6	19
2	2	8.87	3	14	5	17
2	1	6.15	4	28	1	23
2	1	4.07	5	25	0	15
2	1	1.81	7	30	3	9
2	1	7.91	8	13	3	18
2	1	1.14	11	29	6	20
2	1	3.15	11	25	2	13
2	5	1.08	5	26	1	17
2	1	3.68	6	20	5	4
2	1	4.19	12	5	5	0
2	1	2.14	10	21	2	22
2	1	2.02	11	2	0	18
2	1	2.33	1	22	3	20
1	1	0.9	5	20	2	8
2	1	4.93	7	3	4	14
1	1	2.8	5	30	5	5
2	2	0.47	6	5	4	18
2	1	7.05	5	8	4	22
2	1	8.83	4	21	1	7
2	1	4.56	8	18	1	16
2	1	7.6	7	27	0	15
2	2	5.84	10	24	5	10
1	1	0.9	7	4	5	14
2	1	1.46	6	19	4	20
2	1	0.75	10	23	4	21
2	5	0.6	6	8	0	18
2	1	1.54	5	24	6	14
2	1	0.86	2	8	6	22
2	1	5.02	10	19	0	7
2	1	5.69	8	30	6	23
2	1	1.82	1	9	4	17
2	1	0.95	12	12	5	3
2	1	6.22	5	24	6	2
2	1	2.85	9	9	2	9
1	1	1.4	6	18	3	18
2	1	0.83	11	15	6	18
2	1	2.25	1	6	1	12
2	1	5.43	9	27	6	20
2	1	2.03	3	19	3	21
2	1	1.92	5	3	6	4
2	1	1.5	2	7	5	13
2	1	0.32	1	30	4	7
2	1	1.76	10	24	5	23
2	1	2.48	1	1	3	0
2	1	7.75	3	24	1	17
2	1	2.03	11	19	3	18
2	1	1.43	8	30	6	15
2	1	2.38	9	11	4	20
2	5	1.21	11	5	3	19
1	1	2	3	22	6	3
2	1	5.81	4	16	3	20
2	1	0.61	12	26	5	11
1	1	0.7	10	17	5	19
2	1	7.57	2	15	6	18
1	1	1.3	9	26	5	22
2	3	1.48	10	19	0	14
1	1	8.6	3	4	2	14
2	1	1.55	8	17	0	23
1	1	1.2	9	10	3	16
2	1	0.63	10	28	2	9
2	1	0.63	1	3	5	19
2	1	4.52	11	26	3	15
1	1	6	10	26	0	18
2	1	4.69	8	30	6	3
2	1	0.61	7	5	6	18
2	2	0.31	2	14	5	14
